ds,yhat,yhat_lower,yhat_upper
2020-07-03,194.7762220855601,-192.85312203613714,580.0487218327032
2020-07-04,168.1565438173144,-225.84070601375353,566.2535135329751
2020-07-05,172.4186232255879,-222.30904948323817,569.785870816284
2020-07-06,181.36071398559233,-182.23325060063337,566.7443512584333
2020-07-07,185.83703321453973,-188.83920182112837,568.6387973415947
2020-07-08,187.75057838850245,-182.90174772744928,548.7364311538067
2020-07-09,146.44408893938515,-240.30586365837127,526.4703102587154
2020-07-10,160.07816031970037,-245.21752074776762,559.4807865363825
2020-07-11,133.458482051412,-254.50285625014257,499.8025407245521
2020-07-12,137.72056145979886,-243.6667095986402,507.4604429453311
2020-07-13,148.33309799321214,-236.68918372513133,542.5427707467023
2020-07-14,154.47986299561853,-203.35935912648793,541.18603808142
2020-07-15,158.06385394295862,-233.98646126185756,559.47165351442
2020-07-16,118.42781026726479,-284.8477236207169,506.0046811050614
2020-07-17,133.7323274210296,-252.45492389237407,519.3377092421754
2020-07-18,108.78309492627551,-235.62143590182478,505.22343025290814
2020-07-19,114.71562010807173,-245.40281185521764,501.4617917603125
2020-07-20,125.32815664137581,-264.2659619320443,527.3581050592153
2020-07-21,131.47492164381515,-243.03481262269037,526.04430144293
2020-07-22,135.67256930872506,-213.33213769147636,536.7021852523491
2020-07-23,96.65018235053576,-306.34915664053534,477.99279885807704
2020-07-24,112.56835622182555,-274.53932186747414,502.96599721784037
2020-07-25,88.23278044455994,-288.0805822356502,462.22075565757945
2020-07-26,94.77896234392338,-285.39926517738087,500.01761486771926
2020-07-27,106.00515559488767,-286.8716597025067,508.78576055694776
2020-07-28,112.7655773146423,-261.15634191933106,513.3035444682072
2020-07-29,116.9632249796924,-308.12711626790286,476.70627400309945
2020-07-30,77.94083802146356,-309.11526059594814,479.0127945381536
2020-07-31,93.85901189277399,-275.6134123381151,467.1052785421242
2020-08-01,69.99978056499614,-300.50636390924603,441.6668905104053
2020-08-02,77.02230691389062,-298.0698111738646,433.7218815501298
2020-08-03,88.72484461426981,-262.644852130156,471.33811265202974
2020-08-04,95.96161078355799,-289.79029644208174,474.11686881242287
2020-08-05,100.63560289807359,-270.89880895848,502.4446396485624
2020-08-06,62.08956038938232,-308.4210834492104,438.50800295372915
2020-08-07,78.48407871016838,-296.8673799769256,447.55342033633235
2020-08-08,54.62484738243266,-351.5589053271356,450.5361164464317
2020-08-09,61.64737373122895,-275.6644847364787,461.54986306259616
2020-08-10,74.06739928709001,-301.7182507618779,466.61804864920265
2020-08-11,82.0216533119179,-293.68994112965754,443.924928889596
2020-08-12,87.4131332818109,-300.44514733411904,452.655589777433
2020-08-13,49.58457862859822,-328.3042280150769,424.8805313262676
2020-08-14,66.69658480480597,-310.0819899091098,483.9864959746138
2020-08-15,43.55484133249456,-345.67286270676175,467.0243355385202
2020-08-16,51.29485553678313,-327.37709652663057,454.5327588833772
2020-08-17,63.71488109261561,-325.71633689951074,434.4088694060203
2020-08-18,71.66913511737664,-327.2544891015363,456.11320551446215
2020-08-19,78.32395825492326,-282.4635056775209,483.7276704663975
2020-08-20,41.75874676932153,-333.26360904752,414.96587350481343
